
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Non-Degree Granting Education License -- for use at non-degree granting, nonprofit,
	educational organizations only.  Not for government, commercial, or other organizational use.

>> >> >> >> >> >> >> >> >>  On input UserVar=1.000000 

 
 **************************     Úa version: 13 Jan 2017  ********************** 
    Run starts at 01-Mar-2017 15:06:50  
    Experiment: UaOpt-ConjGrad  
    Inverse-modelling restart run.  
 	CtrlVar.Inverse.InvertFor='logAGlenlogC'
	CtrlVar.Inverse.Regularize.Field='logAGlenlogC'
	CtrlVar.Inverse.DataMisfit.GradientCalculation='Adjoint'
   Running on: bslicea.nerc-bas.ac.uk
 ***************************************************************************** 
 
 Inverse run: loading restart file: IR-UaOpt-ConjGrad-UaOptimization-Nod3-I-Adjoint-Cga1k000000-Cgs1k000000-Aga1k000000-Ags1k000000-0-0-logAGlenlogC 	  done 
  Setting h(h<50)=50 
  Calling UaOutputs. UaOutputsInfostring=Start of Inverse Run , UaOutputsCounter=1 
 
 ===========   Inverting for model parameters. ================  

 +++++++++++ At start of inversion:  	 J=32.5913 	 I=31.9321 	 R=0.659139  |grad|=0.455944 	 	 gamma=0.00449344 
 

   It         J           I          R         |grad|      gamma   #ccUpdate
 7545     32.1425     31.4805    0.661928    0.349122   0.0171701      6
 7546     32.1423     31.4803    0.661929     0.31677  0.00891221      7
 7547     32.1414     31.4794     0.66194    0.499714   0.0807669      8
 7548     32.1409     31.4789    0.661939    0.315891  0.00746744      9
 7549     32.0231     31.3594    0.663677     5.08514      12.184      0
 7550     31.9555     31.2919     0.66353     2.42474   0.0039213      1
 7551     31.9299     31.2664    0.663529    0.315642  0.00902839      0
 7552     31.9285     31.2649     0.66355    0.627673    0.154394      1
 7553     31.9276      31.264    0.663547    0.351906  0.00964962      2
 7554     31.9274     31.2638    0.663548    0.316262  0.00529447      3
 7555     31.9269     31.2634    0.663553    0.412932   0.0414733      4
 7556     31.9266     31.2631    0.663554    0.317191  0.00655946      5
 7557     31.9249     31.2613    0.663578     0.66491    0.181959      0
 7558     31.9243     31.2607    0.663574    0.441449   0.0113724      1
 7559     31.9237     31.2601    0.663575    0.316114  0.00416687      2
 7560     31.9235     31.2599    0.663578    0.366083   0.0225354      3
 7561     31.9232     31.2597    0.663579    0.321789   0.0108977      4
 7562      31.923     31.2594    0.663581    0.354457   0.0193234      5
 7563     31.9228     31.2592    0.663582    0.317259  0.00973917      6
 7564     31.9224     31.2588    0.663587    0.387651   0.0353045      7
 7565     31.9221     31.2585    0.663587    0.316253  0.00668713      8
 7566     31.9195     31.2558    0.663626    0.805552    0.283607      0
 7567     31.9177      31.254    0.663622    0.385368  0.00521804      1
 7568     31.9172     31.2536    0.663624    0.327112   0.0121128      0
 7569     31.9171     31.2534    0.663625    0.331757   0.0142716      1
 7570     31.9168     31.2532    0.663627    0.336763    0.014415      2
 7571     31.9166      31.253    0.663628    0.326064   0.0129234      3
 7572     31.9164     31.2528     0.66363    0.346146   0.0171724      4
 7573     31.9162     31.2526    0.663631    0.315086  0.00891463      5
 7574     31.9153     31.2517    0.663642    0.477494   0.0807888      6
 7575     31.9148     31.2512    0.663641    0.314059   0.0079018      7
 7576     31.8942     31.2303     0.66395     2.19257     2.27488      0
 7577     31.8798     31.2158    0.663914    0.604546  0.00584369      1
 7578     31.8785     31.2146    0.663915    0.314624  0.00967364      0
 7579     31.8779     31.2139    0.663924    0.468199   0.0634661      1
 7580     31.8774     31.2135    0.663924    0.314491  0.00726153      2
